"Year" "Species_ID" "presence_01" "Species_name" "Maxheight_cm" "Family" "IUCN_CH" "N_value" "C" "R" "T_value" "K_value" "L_value" "F_value" "R_value" "H_Rivers_and_Lakes" "H_Shorelines" "H_Bogs_and_mires" "H_Rocks_and_debris" "H_Dry_meadows" "H_Rich_meadows" "H_Alpine_pastures" "H_Herbaceous_fringe" "H_Shrubs_hedges" "H_Forests" "H_Ruderal_areas" "H_Cropfields" "IUCNorder" "Fn" "Tn" "Kn" "Rn" "Nn" "Ln" "Rnum" "Cnum" "yeardif" "yeardifnew" "xy_coded"
"75" 1995 "126700" 1 "Cucubalus baccifer L." 150 "Caryophyllaceae" "VU" "4" "CC" "0" "5" "2" "3" "4" "4" "0" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "5_VU" 4 5 2 4 4 3 0 2 17 15 16
"76" 1995 "342800" 1 "Rapistrum rugosum (L.) All." 60 "Brassicaceae" "VU" "4" "0" "RRR" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 4 4 3 0 17 15 16
"77" 1995 "10100" 1 "Ajuga chamaepitys (L.) Schreb." 20 "Lamiaceae" "NT" "2" "0" "RR" "4.5" "4" "4" "2" "5" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "6_NT" 2 4.5 4 5 2 4 2 0 17 15 17
"78" 1995 "160100" 1 "Euphorbia falcata L." 20 "Euphorbiaceae" "EN" "4" "0" "RRR" "5" "3" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 5 3 4 4 4 3 0 17 15 17
"79" 1998 "197200" 1 "Heliotropium europaeum L." 30 "Boraginaceae" "VU" "4" "C" "RR" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 2 4.5 4 4 4 4 2 1 14 12 17
"80" 1995 "402500" 1 "Sorbus domestica L." 1500 "Rosaceae" "EN" "2" "CC" "0" "4.5" "2" "3" "3" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "4_EN" 3 4.5 2 4 2 3 0 2 17 15 17
"81" 1966 "419800" 0 "Thymelaea passerina (L.) Coss. & Germ." 40 "Thymelaeaceae" "EN" "4" "0" "RRR" "4.5" "4" "4" "2" "4" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 2 4.5 4 4 4 4 3 0 46 44 17
"82" 1995 "439500" 1 "Verbascum pulverulentum Vill." 200 "Scrophulariaceae" "EN" "4" "C" "R" "4.5" "2" "4" "2" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "4_EN" 2 4.5 2 4 4 4 1 1 17 15 17
"83" 1995 "157300" 0 "Eryngium campestre L." 50 "Apiaceae" "EN" "2" "CC" "0" "5" "3" "4" "1.5" "4" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "4_EN" 1.5 5 3 4 2 4 0 2 17 15 18
"84" 1995 "21800" 1 "Alisma lanceolatum With." 100 "Alismataceae" "VU" "3" "C" "R" "4" "3" "4" "5" "4" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 5 4 3 4 3 4 1 1 17 15 18
"85" 1996 "234200" 1 "Leontodon saxatilis Lam." 20 "Asteraceae" "NT" "3" "C" "R" "4.5" "2" "4" "2.5" "3" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "6_NT" 2.5 4.5 2 3 3 4 1 1 16 14 18
"86" 1995 "262300" 1 "Misopates orontium (L.) Raf." 30 "Scrophulariaceae" "VU" "1" "0" "RRR" "4.5" "2" "4" "3" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "5_VU" 3 4.5 2 2 1 4 3 0 17 15 18
"87" 1995 "385100" 0 "Sedum rubens L." 15 "Crassulaceae" "VU" "3" "C" "0" "4.5" "2" "4" "1" "2" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 1 4.5 2 2 3 4 0 1 17 15 18
"88" 1966 "70400" 0 "Butomus umbellatus L." 150 "Butomaceae" "VU" "4" "C" "0" "4.5" "4" "3" "5" "3" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5_VU" 5 4.5 4 3 4 3 0 1 46 44 18
"89" 1995 "279200" 1 "Ophrys sphegodes Mill." NA "Orchidaceae" "EN" NA NA NA "4.5" "2" "3" "2" "5" "0" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "4_EN" 2 4.5 2 5 NA 3 NA NA 17 15 19
"90" 1995 "285100" 1 "Orobanche gracilis Sm." 60 "Orobanchaceae" "VU" "2" "0" "R" "4.5" "4" "4" "2" "4" "0" "0" "0" "0" "1" "0" "1" "1" "0" "0" "0" "0" "5_VU" 2 4.5 4 4 2 4 1 0 17 15 19
"91" 1995 "72400" 1 "Calendula arvensis L." 30 "Asteraceae" "EN" "3" "0" "RRR" "5" "3" "4" "1.5" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "4_EN" 1.5 5 3 4 3 4 3 0 17 15 19
"92" 1995 "278300" 0 "Ophrys araneola Rchb." 30 "Orchidaceae" "VU" "1" "C" "R" "4.5" "2" "3" "2" "5" "0" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "5_VU" 2 4.5 2 5 1 3 1 1 17 15 20
